theta,eta,kappa
0.011269300959328711,0.011869298744462083,0.0011577275299594289
0.01127077677027619,0.01187091744660786,0.0011593282552104923
0.011272254579547093,0.01187253835571367,0.0011609311936950353
0.011273734389790019,0.01187416147474571,0.001162536348473172
0.011275216203656914,0.011875786806674043,0.0011641437226092481
0.0112767000238031,0.01187741435447262,0.001165753319171846
0.011278185852887248,0.01187904412111926,0.0011673651412337906
0.011279673693571404,0.011880676109595666,0.0011689791918721572
0.011281163548520982,0.01188231032288743,0.0011705954741682712
0.011282655420404764,0.011883946763984035,0.001172213991207723
0.011284149311894923,0.011885585435878868,0.001173834746080367
0.011285645225667006,0.011887226341569211,0.0011754577418803308
0.011287143164399945,0.011888869484056255,0.001177082981706019
0.01128864313077606,0.011890514866345101,0.0011787104686601213
0.011290145127481083,0.011892162491444777,0.0011803402058496162
0.011291649157204112,0.011893812362368215,0.0011819721963857801
0.011293155222637677,0.011895464482132287,0.0011836064433841875
0.011294663326477694,0.011897118853757788,0.0011852429499647234
0.011296173471423499,0.011898775480269451,0.0011868817192515865
0.011297685660177829,0.011900434364695952,0.0011885227543732945
0.011299199895446851,0.011902095510069908,0.0011901660584626905
0.011300716179940143,0.011903758919427888,0.00119181163465695
0.011302234516370715,0.011905424595810416,0.001193459486097585
0.011303754907455006,0.011907092542261978,0.0011951096159304533
0.011305277355912871,0.011908762761831011,0.0011967620273057582
0.011306801864467626,0.011910435257569943,0.0011984167233780622
0.011308328435846013,0.011912110032535162,0.0012000737073062885
0.01130985707277822,0.011913787089787038,0.0012017329822537279
0.011311387777997879,0.011915466432389917,0.0012033945513880446
0.011312920554242083,0.011917148063412151,0.0012050584178812827
0.011314455404251376,0.01191883198592607,0.0012067245849098724
0.011315992330769757,0.011920518203008004,0.0012083930556546357
0.011317531336544704,0.0119222067177383,0.0012100638333007933
0.011319072424327142,0.011923897533201293,0.0012117369210379667
0.011320615596871485,0.011925590652485345,0.001213412322060191
0.01132216085693561,0.011927286078682828,0.0012150900395659166
0.011323708207280885,0.011928983814890142,0.0012167700767580156
0.011325257650672145,0.011930683864207708,0.001218452436843789
0.011326809189877734,0.01193238622973999,0.0012201371230349724
0.011328362827669467,0.011934090914595479,0.0012218241385477421
0.011329918566822665,0.011935797921886709,0.001223513486602722
