F,Tcmp,kappa
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011122556497987163
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011137935036185465
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011153334837430365
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011168755931121107
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011184198346697537
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011199662113640255
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011215147261470601
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011230653819750734
[0.3 0.3 0.3 0.3 0.3],0.63,0.001124618181808369
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011261731286113432
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011277302253524912
[0.3 0.3 0.3 0.3 0.3],0.63,0.001129289475004414
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011308508805438183
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011324144449515311
[0.3 0.3 0.3 0.3 0.3],0.63,0.001133980171212499
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011355480623157956
[0.3 0.3 0.3 0.3 0.3],0.63,0.001137118121254628
[0.3 0.3 0.3 0.3 0.3],0.63,0.001138690351026341
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011402647546324245
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011418413350785187
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011434200953744167
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011450010385340766
[0.3 0.3 0.3 0.3 0.3],0.63,0.001146584167575622
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011481694855213498
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011497569953977356
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011513467002354399
[0.3 0.3 0.3 0.3 0.3],0.63,0.001152938603069313
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011545327069384017
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011561290148859558
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011577275299594289
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011593282552104923
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011609311936950353
[0.3 0.3 0.3 0.3 0.3],0.63,0.001162536348473172
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011641437226092481
[0.3 0.3 0.3 0.3 0.3],0.63,0.001165753319171846
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011673651412337906
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011689791918721572
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011705954741682712
[0.3 0.3 0.3 0.3 0.3],0.63,0.001172213991207723
[0.3 0.3 0.3 0.3 0.3],0.63,0.001173834746080367
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011754577418803308
[0.3 0.3 0.3 0.3 0.3],0.63,0.001177082981706019
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011787104686601213
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011803402058496162
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011819721963857801
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011836064433841875
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011852429499647234
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011868817192515865
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011885227543732945
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011901660584626905
[0.3 0.3 0.3 0.3 0.3],0.63,0.00119181163465695
[0.3 0.3 0.3 0.3 0.3],0.63,0.001193459486097585
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011951096159304533
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011967620273057582
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011984167233780622
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012000737073062885
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012017329822537279
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012033945513880446
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012050584178812827
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012067245849098724
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012083930556546357
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012100638333007933
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012117369210379667
[0.3 0.3 0.3 0.3 0.3],0.63,0.001213412322060191
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012150900395659166
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012167700767580156
[0.3 0.3 0.3 0.3 0.3],0.63,0.001218452436843789
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012201371230349724
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012218241385477421
[0.3 0.3 0.3 0.3 0.3],0.63,0.001223513486602722
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012252051704249856
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012268991932440692
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012285955582939736
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012302942688131701
[0.3 0.3 0.3 0.3 0.3],0.63,0.0012319953280446085
[0.3 0.3 0.3 0.3 0.3],0.63,0.001233698739235722
